timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1743016880706,2054,14 Register Request,201,Created,User Thread Group 1-395,text,true,,263,280,2631,2631,http://localhost:4000/authentication/register,2054,0,845
1743016880627,1823,14 Register Request,201,Created,User Thread Group 1-242,text,true,,263,280,2587,2587,http://localhost:4000/authentication/register,1823,0,509
1743016881257,1171,14 Register Request,201,Created,User Thread Group 1-882,text,true,,263,271,2584,2584,http://localhost:4000/authentication/register,1171,0,18
1743016881505,1830,14 Register Request,201,Created,User Thread Group 1-899,text,true,,263,271,2714,2714,http://localhost:4000/authentication/register,1830,0,0
1743016880949,1524,14 Register Request,201,Created,User Thread Group 1-597,text,true,,263,275,2589,2589,http://localhost:4000/authentication/register,1524,0,12
1743016880609,2725,14 Register Request,201,Created,User Thread Group 1-193,text,true,,263,277,2714,2714,http://localhost:4000/authentication/register,2725,0,1029
1743016881658,794,14 Register Request,201,Created,User Thread Group 1-684,text,true,,263,280,2587,2587,http://localhost:4000/authentication/register,794,0,16
1743016880726,1702,14 Register Request,201,Created,User Thread Group 1-383,text,true,,263,275,2584,2584,http://localhost:4000/authentication/register,1702,0,414
1743016880606,1823,14 Register Request,201,Created,User Thread Group 1-222,text,true,,263,276,2584,2584,http://localhost:4000/authentication/register,1823,0,656
1743016881283,1357,14 Register Request,201,Created,User Thread Group 1-941,text,true,,263,279,2616,2616,http://localhost:4000/authentication/register,1357,0,1
1743016881364,1109,14 Register Request,201,Created,User Thread Group 1-757,text,true,,263,283,2589,2589,http://localhost:4000/authentication/register,1109,0,1
1743016881199,1430,14 Register Request,201,Created,User Thread Group 1-748,text,true,,263,275,2615,2615,http://localhost:4000/authentication/register,1430,0,48
1743016880632,2325,14 Register Request,201,Created,User Thread Group 1-249,text,true,,263,285,2647,2647,http://localhost:4000/authentication/register,2325,0,489
