timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1741680400283,5,17 Add Money Request,200,OK,User Thread Group 1-671,text,true,,294,441,362,362,http://localhost:8080/transaction/addMoneyToWallet,5,0,0
1741680400285,7,14 Register Request,201,Created,User Thread Group 1-776,text,true,,287,289,362,362,http://localhost:8080/authentication/register,7,0,0
1741680400289,7,20 Get Stock Transactions Request,200,OK,User Thread Group 1-560,text,true,,889,418,363,363,http://localhost:8080/transaction/getStockTransactions,7,0,0
1741680400287,10,20 Get Stock Transactions Request,200,OK,User Thread Group 1-558,text,true,,888,417,363,363,http://localhost:8080/transaction/getStockTransactions,10,0,0
1741680400290,9,19 Place Stock Order Request,200,OK,User Thread Group 1-591,text,true,,850,542,363,363,http://localhost:8080/engine/placeStockOrder,9,0,0
1741680400290,10,21 Get Wallet Transactions Request,200,OK,User Thread Group 1-525,text,true,,471,406,363,363,http://localhost:8080/transaction/getWalletTransactions,10,0,0
1741680400259,42,19 Place Stock Order Request,200,OK,User Thread Group 1-590,text,true,,848,540,363,363,http://localhost:8080/engine/placeStockOrder,42,0,0
1741680400295,6,15 Login Request,200,OK,User Thread Group 1-741,text,true,,536,251,363,363,http://localhost:8080/authentication/login,6,0,0
1741680400296,8,23 Get Stock Portfolio Request,200,OK,User Thread Group 1-458,text,true,,386,411,363,363,http://localhost:8080/transaction/getStockPortfolio,8,0,0
1741680400265,43,19 Place Stock Order Request,200,OK,User Thread Group 1-588,text,true,,851,543,363,363,http://localhost:8080/engine/placeStockOrder,43,0,0
1741680400301,7,21 Get Wallet Transactions Request,200,OK,User Thread Group 1-524,text,true,,471,409,363,363,http://localhost:8080/transaction/getWalletTransactions,7,0,0
1741680400244,66,20 Get Stock Transactions Request,200,OK,User Thread Group 1-563,text,true,,884,413,363,363,http://localhost:8080/transaction/getStockTransactions,66,0,0
1741680400301,10,14 Register Request,201,Created,User Thread Group 1-777,text,true,,287,291,363,363,http://localhost:8080/authentication/register,10,0,1
1741680400299,13,20 Get Stock Transactions Request,200,OK,User Thread Group 1-554,text,true,,877,406,363,363,http://localhost:8080/transaction/getStockTransactions,13,0,0
1741680400307,6,22 Get Wallet Balance Request,200,OK,User Thread Group 1-497,text,true,,308,406,363,363,http://localhost:8080/transaction/getWalletBalance,6,0,0
1741680400310,7,16 Get Stock Prices Request,200,OK,User Thread Group 1-707,text,true,,479,410,363,363,http://localhost:8080/transaction/getStockPrices,7,0,0
1741680400295,23,19 Place Stock Order Request,200,OK,User Thread Group 1-605,text,true,,850,542,363,363,http://localhost:8080/engine/placeStockOrder,23,0,0
1741680400298,20,19 Place Stock Order Request,200,OK,User Thread Group 1-597,text,true,,856,548,363,363,http://localhost:8080/engine/placeStockOrder,20,0,0
1741680400308,13,21 Get Wallet Transactions Request,200,OK,User Thread Group 1-508,text,true,,471,413,363,363,http://localhost:8080/transaction/getWalletTransactions,13,0,0
1741680400289,34,19 Place Stock Order Request,200,OK,User Thread Group 1-602,text,true,,850,542,364,364,http://localhost:8080/engine/placeStockOrder,34,0,0
