timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1741648606960,11,14 Register Request,201,Created,User Thread Group 1-947,text,true,,287,291,831,831,http://localhost:8080/authentication/register,11,0,1
1741648606938,35,15 Login Request,200,OK,User Thread Group 1-907,text,true,,536,257,831,831,http://localhost:8080/authentication/login,35,0,0
1741648605743,1231,16 Get Stock Prices Request,200,OK,User Thread Group 1-780,text,false,,292,403,831,831,http://localhost:8080/transaction/getStockPrices,1231,0,0
1741648605464,1511,23 Get Stock Portfolio Request,200,OK,User Thread Group 1-127,text,false,,321,413,831,831,http://localhost:8080/transaction/getStockPortfolio,1511,0,0
1741648606963,14,15 Login Request,200,OK,User Thread Group 1-912,text,true,,532,254,831,831,http://localhost:8080/authentication/login,14,0,0
1741648606654,323,15 Login Request,200,OK,User Thread Group 1-891,text,true,,519,257,830,830,http://localhost:8080/authentication/login,323,0,0
1741648606553,428,14 Register Request,201,Created,User Thread Group 1-918,text,true,,287,289,830,830,http://localhost:8080/authentication/register,428,0,0
1741648606975,7,16 Get Stock Prices Request,200,OK,User Thread Group 1-877,text,false,,292,408,830,830,http://localhost:8080/transaction/getStockPrices,7,0,0
1741648605466,1520,22 Get Wallet Balance Request,200,OK,User Thread Group 1-360,text,false,,309,405,831,831,http://localhost:8080/transaction/getWalletBalance,1520,0,0
1741648606362,631,17 Add Money Request,200,OK,User Thread Group 1-743,text,true,,294,450,831,831,http://localhost:8080/transaction/addMoneyToWallet,631,0,0
1741648605743,1251,18 Get Wallet Balance Request,200,OK,User Thread Group 1-653,text,true,,309,409,831,831,http://localhost:8080/transaction/getWalletBalance,1251,0,0
1741648605745,1249,16 Get Stock Prices Request,200,OK,User Thread Group 1-788,text,false,,292,400,831,831,http://localhost:8080/transaction/getStockPrices,1249,0,0
1741648606449,554,17 Add Money Request,200,OK,User Thread Group 1-753,text,true,,294,443,832,832,http://localhost:8080/transaction/addMoneyToWallet,554,0,0
1741648606459,545,22 Get Wallet Balance Request,200,OK,User Thread Group 1-423,text,false,,309,413,832,832,http://localhost:8080/transaction/getWalletBalance,545,0,0
1741648606087,918,19 Place Stock Order Request,400,Bad Request,User Thread Group 1-546,text,false,"Value in json path '$.success' expected to match regexp 'true', but it did not match: 'false'",369,513,832,832,http://localhost:8080/engine/placeStockOrder,918,0,0
1741648606977,31,14 Register Request,201,Created,User Thread Group 1-948,text,true,,287,291,832,832,http://localhost:8080/authentication/register,31,0,1
1741648606992,17,14 Register Request,201,Created,User Thread Group 1-949,text,true,,287,284,832,832,http://localhost:8080/authentication/register,17,0,2
1741648605464,1548,16 Get Stock Prices Request,200,OK,User Thread Group 1-767,text,false,,292,402,832,832,http://localhost:8080/transaction/getStockPrices,1548,0,0
1741648605754,1261,20 Get Stock Transactions Request,200,OK,User Thread Group 1-513,text,false,,337,418,833,833,http://localhost:8080/transaction/getStockTransactions,1261,0,0
